"","unlist.list_syllabi.","unlist.a."
"1","Bauer_internationalorganizations.pdf","The topics that we cover in this class are often difficult, not just intellectually but emotionally. While I expect there to be rigorous discussion and even disagreement in the course of our class discussions, I ask that you engage in discussion with care and empathy for the other members in the classroom. Aim to disagree without becoming disagreeable. In this class we will not shy away from the uncomfortable. Critically examining and assessing assumptions and basic values is not just one of our tasks in this course but is an activity vital to living an authentic life. I urge you to have the courage to the uncomfortable in this class. In exchange for your courage, I will work to ensure a classroom environment that supports your taking these intellectual and sometimes emotional risks."
"2","econIIeconomiccrises_Ahrens.pdf","I celebrate diversity in my everyday life through my friends, my colleagues and co-authors, my profession, and the team that teaches this class. I have always taken a multinational and multicultural perspective. I believe that diversity fosters the inventiveness of thought, generates mutual understanding and respect, and is an enrichment to personal experience. I have passionately fostered cultural exchange through my long standing position as coordinator of the student exchange program between Kiel University in Germany and the University of Illinois at Urbana- Champaign. Through this program I was able to send German students to experience their study abroad in the United States and had the honor to host American students of multiple ethnic backgrounds at Kiel University. During my own studies abroad at the University of Illinois, I was also a member of the international student organization International Illini of the University of Illinois."
"3","econIIfinmarketpolicy_Gruener.pdf","NULL"
"4","econIIsustainability_Lancker.pdf","In my lectures, I strive to support inclusivity and diversity, and to build a culture where difference is valued, discussed, and finally spurs innovation and learning. I appreciate feedback on these issues, and would be honoured if you would address to me any issues you experience with discrimination, offensive speech or related issues during lecture or labs."
"5","globalgov_Patz_Rev.pdf","All participants in the course—lecturer and students alike—commit to using a respectful and inclusive language aware of racism, sexism, ableism and other forms of discriminatory speech. Students are invited to indicate the names and pronouns with which they (do not) want to be addressed. The reading materials in this course are broadly gender-balanced and include texts authored by non- Western scholars but otherwise reflect the existing bias in “global” and English-language academic publishing on global governance and International Relations. Where possible, postcolonial and Global South perspectives are included in the materials used. Students are encouraged to bring in further perspectives, notably where they have language and area skills to access non-English and less visible scholarly work or empirical insights."
"6","globalgoveu_Jachtenfuchs.pdf","NULL"
"7","international_law_CaliCostello.pdf","The course aims to serve students from all diverse backgrounds and perspectives. It draws on examples, cases and institutions across the globe and suggests readings from a diversity of perspectives on international law. We invite all our students to engage in discussion with care and empathy for the other members in the classroom. Aim to disagree without becoming disagreeable. It is our intention that students’ learning is addressed both in and out of class, and that the diversity that students bring to this class be viewed as a resource, strength and benefit. We intend to present materials and activities that are respectful of diversity. Your suggestions are encouraged and appreciated. Please let us know ways to improve the effectiveness of the course for you personally or for other students or student groups."
"8","introduction_to_economics_Bosch-Rosa.pdf","This class will try to cover topics beyond the usual curricula in introductory economics. We will do so by having a session dedicated exclusively to the problems of gender and racial discrimination. We also will try to provide the widest range possible of examples while covering all other topics. You are encouraged to send any ideas or topics that you think should be included in the class."
"9","lawgovernanceruleoflawcrisis_Bobic.pdf","NULL"
"10","NOinternationalsecurity_Gohdes_Wucherpfennig.pdf","As you may know, the Hertie School is committed to implementing a new Diversity and Inclusion Strategy.                                                       In the spirit of this vital commitment, we emphasize that in this course, each voice in the classroom has something of value to contribute to all discussions. Everyone is expected to respect the different experiences, beliefs and values expressed by fellow students and the instructor. We expect you to engage in reasoned discussion that refrains from derogatory comments about other people, cultures, groups, or viewpoints."
